x,y
0,0
1,0.0719385668635
2,0.0753039494157
3,0.0768825784326
4,0.0779795870185
5,0.0780414417386
6,0.0753550007939
7,0.0680908635259
8,0.0507936701179
9,0.0270839184523
10,-0.00364758074284
11,-0.0312811098993
12,-0.135661572218
13,-0.676882207394
14,-1.67197465897
15,-2.64273166656
16,-3.41804337502
17,-3.49925351143
18,-3.06018853188
19,-2.75473022461
20,-2.86930465698
21,-3.01445198059
22,-2.96844172478
23,-2.93210935593
24,-2.96189808846
25,-2.96500086784
26,-2.96234130859
27,-2.96216702461
28,-2.95436811447
29,-2.95141482353
30,-2.93931174278
31,-2.93963193893
32,-2.94457602501
33,-2.94636845589
34,-2.95441675186
35,-2.96071171761
36,-2.97176194191
37,-2.97355413437
38,-2.98128819466
39,-2.97879076004
40,-2.97743868828
41,-2.97949838638
42,-2.9780356884
43,-2.9702091217
44,-2.96624708176
45,-2.97759628296
46,-2.96995472908
47,-2.97637987137
48,-2.97211766243
49,-2.97913646698
50,-2.98079943657
51,-2.97880673409
52,-2.96908926964
53,-2.96412920952
54,-2.9677567482
55,-2.97463726997
56,-2.98334050179
57,-2.99000000954
58,-2.78250861168
59,-2.38222360611
60,-1.86142897606
61,-1.39684379101
62,-0.859876871109
63,-0.364069700241
64,-0.233432427049
65,-0.235510915518
66,-0.227429807186
67,-0.213147610426
68,-0.193663448095
69,-0.175332337618
70,-0.156619906425
71,-0.141672223806
72,-0.126723989844
73,-0.111239209771
74,-0.0877812355757
75,-0.0552945137024
